algorithm,profile,lags,horizon,model_variant,avg_inference_time_ms,avg_total_time_ms,avg_cpu_percent,avg_ram_percent,model_size_mb,run_id
light_xgboost,edge,1,1,model.joblib,3.881495987900059,34.35333783469963,25.071629754438177,72.24745762711862,0.1724,20250825_222025
light_xgboost,edge,1,4,model.joblib,,,,,0.6854,20250825_222025
light_xgboost,edge,1,7,model.joblib,,,,,1.2024,20250825_222025
light_xgboost,edge,1,10,model.joblib,,,,,1.7079,20250825_222025
light_xgboost,edge,1,13,model.joblib,,,,,2.2245,20250825_222025
light_xgboost,edge,1,16,model.joblib,,,,,2.7333,20250825_222025
light_xgboost,edge,4,1,model.joblib,,,,,0.1765,20250825_222025
light_xgboost,edge,4,4,model.joblib,,,,,0.6994,20250825_222025
light_xgboost,edge,4,7,model.joblib,,,,,1.2078,20250825_222025
light_xgboost,edge,4,10,model.joblib,,,,,1.7296,20250825_222025
light_xgboost,edge,4,13,model.joblib,,,,,2.2519,20250825_222025
light_xgboost,edge,4,16,model.joblib,,,,,2.7844,20250825_222025
light_xgboost,edge,7,1,model.joblib,,,,,0.1767,20250825_222025
light_xgboost,edge,7,4,model.joblib,,,,,0.6951,20250825_222025
light_xgboost,edge,7,7,model.joblib,,,,,1.2168,20250825_222025
light_xgboost,edge,7,10,model.joblib,,,,,1.7349,20250825_222025
light_xgboost,edge,7,13,model.joblib,,,,,2.2688,20250825_222025
light_xgboost,edge,7,16,model.joblib,,,,,2.7808,20250825_222025
light_xgboost,edge,10,1,model.joblib,,,,,0.1764,20250825_222025
light_xgboost,edge,10,4,model.joblib,,,,,0.7061,20250825_222025
light_xgboost,edge,10,7,model.joblib,,,,,1.229,20250825_222025
light_xgboost,edge,10,10,model.joblib,,,,,1.7619,20250825_222025
light_xgboost,edge,10,13,model.joblib,,,,,2.2828,20250825_222025
light_xgboost,edge,10,16,model.joblib,,,,,2.8243,20250825_222025
light_xgboost,edge,13,1,model.joblib,,,,,0.1789,20250825_222025
light_xgboost,edge,13,4,model.joblib,,,,,0.7085,20250825_222025
light_xgboost,edge,13,7,model.joblib,,,,,1.2393,20250825_222025
light_xgboost,edge,13,10,model.joblib,,,,,1.7608,20250825_222025
light_xgboost,edge,13,13,model.joblib,,,,,2.3038,20250825_222025
light_xgboost,edge,13,16,model.joblib,,,,,2.829,20250825_222025
light_xgboost,edge,16,1,model.joblib,,,,,0.179,20250825_222025
light_xgboost,edge,16,4,model.joblib,,,,,0.7115,20250825_222025
light_xgboost,edge,16,7,model.joblib,,,,,1.2342,20250825_222025
light_xgboost,edge,16,10,model.joblib,,,,,1.7763,20250825_222025
light_xgboost,edge,16,13,model.joblib,,,,,2.2974,20250825_222025
light_xgboost,edge,16,16,model.joblib,,,,,2.8304,20250825_222025
lstm,edge,1,1,model_quant_float16.tflite,1.227232173952257,35.57643928896568,23.989808433415476,57.67966101694914,0.1438,2025-08-25_231001_3027_train
lstm,edge,1,4,model_quant_float16.tflite,1.2097198451900846,34.93549724077896,24.40153675234468,55.58135593220341,0.1454,2025-08-25_231230_2097_train
lstm,edge,1,7,model_quant_float16.tflite,1.2746612613634811,34.652870767986585,24.231200970371635,55.800000000000004,0.147,2025-08-25_231513_8980_train
lstm,edge,1,10,model_quant_float16.tflite,1.2322866943953432,35.01531427284161,24.358031916324173,48.71186440677965,0.1485,2025-08-25_231807_3058_train
lstm,edge,1,13,model_quant_float16.tflite,1.221727559760419,35.089192627850174,23.963973369382835,54.4,0.1501,2025-08-25_232115_8265_train
lstm,edge,1,16,model_quant_float16.tflite,1.283320859235112,34.78736483681374,23.77955215743612,57.35762711864407,0.1517,2025-08-25_232411_9555_train
lstm,edge,4,1,model_quant_float16.tflite,1.582884641650731,42.92568428670315,24.209807068150507,55.98301886792453,0.1562,2025-08-25_232706_5707_train
lstm,edge,4,4,model_quant_float16.tflite,1.5629176811601193,42.67413949347887,24.432513011656777,53.954716981132066,0.1577,2025-08-25_232959_4120_train
lstm,edge,4,7,model_quant_float16.tflite,1.7319116651868098,43.38707583341391,24.5003414530622,58.02641509433962,0.1593,2025-08-25_233307_1332_train
lstm,edge,4,10,model_quant_float16.tflite,1.7158830350336036,43.98354176730616,24.78933539762059,52.31509433962265,0.1609,2025-08-25_233612_2140_train
lstm,edge,4,13,model_quant_float16.tflite,1.501992497091639,43.56703350215022,26.036444816459454,45.84339622641508,0.1625,2025-08-25_233919_8179_train
lstm,edge,4,16,model_quant_float16.tflite,1.6726156239970504,42.684864845864844,24.111350229598614,51.29622641509435,0.1641,2025-08-25_234226_5673_train
lstm,edge,7,1,model_quant_float16.tflite,2.1130289153559807,52.76662419906794,24.72736387267609,54.751063829787235,0.1685,2025-08-25_234538_2199_train
lstm,edge,7,4,model_quant_float16.tflite,2.0150536995218693,55.3934274271051,24.71698454733623,52.687234042553165,0.1701,2025-08-25_234857_5680_train
lstm,edge,7,7,model_quant_float16.tflite,1.8516507242684301,51.14452077690112,25.01601249266653,48.92765957446808,0.1717,2025-08-25_235251_4302_train
lstm,edge,7,10,model_quant_float16.tflite,2.0502172663564346,52.815483367823504,25.2278777560187,52.51063829787234,0.1733,2025-08-25_235613_5902_train
lstm,edge,7,13,model_quant_float16.tflite,1.9813982375046606,53.087370207612466,25.262116853887992,54.30212765957445,0.1749,2025-08-25_235937_7253_train
lstm,edge,7,16,model_quant_float16.tflite,1.9753991433864309,52.73683485079631,24.58246770677901,52.48085106382982,0.1764,2025-08-26_000258_1721_train
lstm,edge,10,1,model_quant_float16.tflite,2.4267912143840853,62.4183511259261,24.867707509365772,53.71219512195122,0.1809,2025-08-26_000650_9303_train
lstm,edge,10,4,model_quant_float16.tflite,2.37616754020559,63.073440205033194,24.98566681375756,50.658536585365866,0.1825,2025-08-26_001028_1567_train
lstm,edge,10,7,model_quant_float16.tflite,2.403052104636975,60.81198104770803,24.64370432728302,57.03658536585366,0.1841,2025-08-26_001359_9141_train
lstm,edge,10,10,model_quant_float16.tflite,2.3581322515382874,60.31538032154298,24.93596575122844,53.90975609756097,0.1856,2025-08-26_001749_9051_train
lstm,edge,10,13,model_quant_float16.tflite,2.1898503066040123,61.55730054214048,24.92505192206879,48.46829268292682,0.1872,2025-08-26_002115_4368_train
lstm,edge,10,16,model_quant_float16.tflite,2.1992415946442128,62.35507074402777,24.723672036931635,52.38780487804877,0.1888,2025-08-26_002446_6146_train
lstm,edge,13,1,model_quant_float16.tflite,2.7664693702450087,70.44785076619254,25.209062962256375,53.62857142857142,0.1933,2025-08-26_002819_9135_train
lstm,edge,13,4,model_quant_float16.tflite,2.5628363467094943,71.8726314205144,25.57525222391431,51.71714285714286,0.1948,2025-08-26_003151_9619_train
lstm,edge,13,7,model_quant_float16.tflite,2.5725551565889355,71.52789172583388,25.332024460834095,53.28285714285716,0.1964,2025-08-26_003534_4581_train
lstm,edge,13,10,model_quant_float16.tflite,2.4983701433109355,71.23633376987914,24.65516032754687,52.325714285714284,0.198,2025-08-26_003929_3901_train
lstm,edge,13,13,model_quant_float16.tflite,2.559482030953938,70.78432563160142,25.512123764764024,52.62857142857142,0.1996,2025-08-26_004311_4826_train
lstm,edge,13,16,model_quant_float16.tflite,2.7499312384272647,70.51941886145086,24.67303231433486,54.55142857142857,0.2012,2025-08-26_004655_5601_train
lstm,edge,16,1,model_quant_float16.tflite,3.160652929052122,82.21291472075568,24.726956807819956,52.703448275862065,0.2056,2025-08-26_005037_2032_train
lstm,edge,16,4,model_quant_float16.tflite,3.2119403393672505,80.97800748936572,25.997358913100378,53.71724137931034,0.2072,2025-08-26_005416_6209_train
lstm,edge,16,7,model_quant_float16.tflite,3.0663645593448896,81.20886791208434,24.64499082254121,52.013793103448265,0.2088,2025-08-26_005755_4532_train
lstm,edge,16,10,model_quant_float16.tflite,2.8954206749663425,82.71870394397908,25.13074705820907,50.86206896551726,0.2104,2025-08-26_010148_1364_train
lstm,edge,16,13,model_quant_float16.tflite,3.2634661266845857,81.03458184331394,24.485658915647637,52.531034482758606,0.2119,2025-08-26_010545_4394_train
